Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SCN4A	HYKPP, HYPP, Nav1.4, SkM1	ENSG00000007314	Sodium voltage-gated channel alpha subunit 4	17	63938554-63972918	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA053992			Approved	Nucleoplasm<br>Microtubule organizing center		Tissue enhanced	Group enriched	9	adipose tissue: 12.4;skeletal muscle: 47.2	thyroid gland: 3.3	Group enriched	13	REH: 13.6;RH-30: 43.5
SCN4B	LQT10	ENSG00000177098	Sodium voltage-gated channel beta subunit 4	11	118133377-118152888	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA017293	Approved					Mixed	Tissue enhanced		adipose tissue: 25.0	thyroid gland: 17.0	Cell line enhanced		AN3-CA: 1.2;NTERA-2: 1.4;U-2 OS: 1.4
SCN5A	CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1	ENSG00000183873	Sodium voltage-gated channel alpha subunit 5	3	38548057-38649673	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level							Mixed	Tissue enriched	18	heart muscle: 27.8	cervix, uterine: 1.5	Cell line enhanced		LHCN-M2: 23.1;RH-30: 22.0
SCN9A	ETHA, Nav1.7, NE-NA, NENA, PN1	ENSG00000169432	Sodium voltage-gated channel alpha subunit 9	2	166195185-166375993	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	CAB013679, HPA061843	Uncertain		Approved	Plasma membrane<br>Actin filaments<br>Focal adhesion sites	Renal cancer:2.30e-5 (unfavourable)	Mixed	Tissue enhanced		testis: 9.1	placenta: 5.9	Cell line enhanced		BJ: 20.5;BJ hTERT+: 13.6;HHSteC: 13.7
SCNN1A	ENaCalpha, SCNN1	ENSG00000111319	Sodium channel epithelial 1 alpha subunit	12	6346843-6377730	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA012743	Enhanced				Renal cancer:9.21e-8 (favourable), Pancreatic cancer:2.30e-4 (unfavourable), Ovarian cancer:8.86e-4 (unfavourable)	Mixed	Mixed			cervix, uterine: 95.1	Cell line enhanced		CAPAN-2: 264.6;HBEC3-KT: 145.5;RPTEC TERT1: 78.8;RT4: 91.1;SK-BR-3: 72.7
SCNN1B	ENaCbeta	ENSG00000168447	Sodium channel epithelial 1 beta subunit	16	23278231-23381299	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA015612	Uncertain				Renal cancer:2.09e-6 (unfavourable)	Tissue enhanced	Tissue enhanced		cervix, uterine: 72.0	esophagus: 44.8	Cell line enhanced		hTCEpi: 24.0;RT4: 14.6;U-266/70: 41.7;U-266/84: 14.3
SCNN1D	dNaCh, ENaCdelta	ENSG00000162572	Sodium channel epithelial 1 delta subunit	1	1280436-1292029	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026884	Enhanced		Supported	Plasma membrane<br>Actin filaments	Renal cancer:6.67e-5 (unfavourable), Pancreatic cancer:1.32e-4 (favourable), Head and neck cancer:1.60e-4 (favourable)	Mixed	Tissue enhanced		testis: 13.8	cerebral cortex: 7.3	Mixed		
SCNN1G	ENaCgamma, SCNEG	ENSG00000166828	Sodium channel epithelial 1 gamma subunit	16	23182715-23216883	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA071194			Supported	Nucleoplasm<br>Plasma membrane	Renal cancer:3.20e-7 (unfavourable)	Tissue enhanced	Tissue enhanced		cervix, uterine: 24.6;kidney: 46.7	thyroid gland: 9.5	Group enriched	5	hTCEpi: 33.4;RT4: 17.1
SCTR		ENSG00000080293	Secretin receptor	2	119439843-119525301	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA007269	Uncertain					Tissue enhanced	Tissue enhanced		duodenum: 26.7;lung: 12.7;pancreas: 14.4	stomach: 4.1	Cell line enhanced		Karpas-707: 2.2
SDHD	cybS, PGL, PGL1	ENSG00000204370	Succinate dehydrogenase complex subunit D	11	112086773-112120013	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045727	Approved				Renal cancer:1.99e-10 (favourable)	Expressed in all	Expressed in all			kidney: 305.5	Expressed in all		
SDHD	cybS, PGL, PGL1	ENSG00000255292	Succinate dehydrogenase complex subunit D	11	112086824-112193805	Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA045727	Uncertain					Not detected	Tissue enriched	13	colon: 7.8	parathyroid gland: 0.5	Cell line enhanced		A549: 23.8;CACO-2: 57.0;Hep G2: 19.6;hTEC/SVTERT24-B: 20.1;RT4: 30.5
SERPINB2	HsT1201, PAI2, PLANH2	ENSG00000197632	Serpin family B member 2	18	63871692-63903890	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA015480	Supported				Urothelial cancer:1.55e-5 (unfavourable)	Tissue enhanced	Group enriched	6	esophagus: 260.7;placenta: 70.3;skin: 105.8;tonsil: 72.9	bone marrow: 22.2	Group enriched	6	HaCaT: 611.4;U-138 MG: 792.9;U-2197: 1151.1
SERPINC1	AT3, ATIII, MGC22579	ENSG00000117601	Serpin family C member 1	1	173903804-173917378	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA001816, CAB016790, HPA024007	Supported				Liver cancer:3.40e-5 (favourable)	Tissue enriched	Tissue enriched	670	liver: 2517.8	kidney: 3.7	Cell line enriched	26	Hep G2: 55.1
SERPIND1	D22S673, HC-II, HC2, HCF2, HLS2	ENSG00000099937	Serpin family D member 1	22	20773879-20787720	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB008639, HPA055767	Supported		Approved	Vesicles	Endometrial cancer:4.09e-4 (favourable)	Tissue enriched	Tissue enriched	16	liver: 585.3	parathyroid gland: 36.2	Cell line enriched	8	Hep G2: 126.1
SERPINE1	PAI, PAI1, PLANH1	ENSG00000106366	Serpin family E member 1	7	101127089-101139266	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA050039, CAB068501	Uncertain		Approved	Cytosol	Renal cancer:5.88e-8 (unfavourable), Stomach cancer:3.27e-6 (unfavourable), Lung cancer:4.41e-6 (unfavourable), Head and neck cancer:2.84e-5 (unfavourable), Colorectal cancer:2.82e-4 (unfavourable), Cervical cancer:5.01e-4 (unfavourable), Urothelial cancer:5.51e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 580.3;placenta: 600.2	adipose tissue: 215.8	Cell line enhanced		TIME: 8072.1;U-138 MG: 4492.2;U-251 MG: 3465.4
SHMT1	CSHMT, MGC15229, MGC24556, SHMT	ENSG00000176974	Serine hydroxymethyltransferase 1	17	18327860-18363563	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA023314	Approved		Supported	Nucleus<br>Cytosol	Renal cancer:8.54e-6 (favourable), Liver cancer:2.52e-4 (favourable)	Expressed in all	Expressed in all			kidney: 271.5	Expressed in all		
SI		ENSG00000090402	Sucrase-isomaltase	3	164978898-165078495	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA011897	Enhanced					Tissue enhanced	Group enriched	15	duodenum: 547.3;small intestine: 493.2	rectum: 34.5	Cell line enhanced		BEWO: 1.0;CACO-2: 1.3;RPMI-8226: 1.3;SH-SY5Y: 1.2
SIGMAR1	OPRS1, SR-BP1	ENSG00000147955	Sigma non-opioid intracellular receptor 1	9	34634722-34637809	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB013470, HPA018002, HPA024071	Approved				Urothelial cancer:3.42e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 67.8	Expressed in all		
SIRT5		ENSG00000124523	Sirtuin 5	6	13574529-13615158	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA021798, HPA022002, HPA022992	Approved		Enhanced	Mitochondria	Renal cancer:8.76e-10 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 17.1	Expressed in all		
SLAMF7	19A, CD319, CRACC, CS1	ENSG00000026751	SLAM family member 7	1	160739057-160754821	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB015445, HPA055945, HPA061654	Enhanced		Approved	Vesicles	Renal cancer:8.57e-5 (unfavourable), Ovarian cancer:3.93e-4 (favourable)	Mixed	Mixed			spleen: 58.3	Group enriched	7	SK-MEL-30: 45.6;U-266/70: 216.2
SLC12A1	NKCC2	ENSG00000074803	Solute carrier family 12 member 1	15	48191664-48304078	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA014967, HPA018107	Enhanced		Approved	Nucleus<br>Vesicles		Tissue enhanced	Tissue enriched	477	kidney: 780.2	testis: 1.6	Cell line enriched	19	RPTEC TERT1: 19.2
SLC12A2	BSC, BSC2, NKCC1, PPP1R141	ENSG00000064651	Solute carrier family 12 member 2	5	128083766-128189688	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA020130, HPA063697	Approved		Approved	Vesicles<br>Plasma membrane	Renal cancer:7.09e-4 (favourable), Endometrial cancer:8.60e-4 (favourable)	Expressed in all	Expressed in all			rectum: 65.4	Expressed in all		
SLC12A3	NCCT	ENSG00000070915	Solute carrier family 12 member 3	16	56865207-56915850	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA028748	Enhanced					Tissue enhanced	Tissue enriched	109	kidney: 109.8	lymph node: 1.0	Group enriched	11	BEWO: 7.0;HAP1: 4.1;HeLa: 5.5
SLC12A4	KCC1	ENSG00000124067	Solute carrier family 12 member 4	16	67943474-67969601	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041138	Approved		Approved	Endosomes	Renal cancer:2.25e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 63.9	Mixed		
SLC12A5	KCC2, KIAA1176	ENSG00000124140	Solute carrier family 12 member 5	20	46021690-46060152	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA072058	Enhanced				Glioma:8.45e-4 (unfavourable)	Mixed	Tissue enriched	8	cerebral cortex: 94.2	adrenal gland: 11.9	Cell line enhanced		NB-4: 32.3;U-2 OS: 29.1
SLC18A1	CGAT, VAT1, VMAT1	ENSG00000036565	Solute carrier family 18 member A1	8	20144855-20183206	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA006877, HPA063797	Enhanced					Tissue enhanced	Tissue enriched	11	adrenal gland: 32.6	rectum: 3.0	Cell line enriched	9	SH-SY5Y: 70.0
SLC18A2	SVAT, SVMT, VMAT2	ENSG00000165646	Solute carrier family 18 member A2	10	117241093-117279430	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA073224	Approved					Mixed	Tissue enhanced		cervix, uterine: 47.6	adrenal gland: 19.0	Cell line enriched	18	HMC-1: 308.7
SLC22A11	OAT4	ENSG00000168065	Solute carrier family 22 member 11	11	64555626-64572875	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026076	Approved				Renal cancer:3.68e-5 (favourable)	Group enriched	Group enriched	114	epididymis: 10.0;kidney: 26.0;placenta: 44.8	seminal vesicle: 0.2	Cell line enhanced		BEWO: 1.2
SLC22A12	OAT4L, RST, URAT1	ENSG00000197891	Solute carrier family 22 member 12	11	64590641-64602353	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA024575	Enhanced				Renal cancer:2.63e-4 (favourable)	Group enriched	Tissue enriched	198	kidney: 105.0	adipose tissue: 0.5	Not detected		
SLC22A6	OAT1, PAHT, ROAT1	ENSG00000197901	Solute carrier family 22 member 6	11	62936385-62984983	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA074559, CAB075704	Enhanced					Tissue enriched	Tissue enriched	64	kidney: 200.2	cerebral cortex: 3.1	Not detected		
SLC22A8	OAT3	ENSG00000149452	Solute carrier family 22 member 8	11	62989154-63015839	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA044174	Enhanced					Tissue enhanced	Tissue enriched	395	kidney: 339.8	cerebral cortex: 0.8	Not detected		
SLC25A4	ANT1, PEO2, PEO3, T1	ENSG00000151729	Solute carrier family 25 member 4	4	185143241-185150382	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046835, HPA071684	Approved		Enhanced	Mitochondria	Renal cancer:0.00e+0 (favourable), Pancreatic cancer:3.41e-4 (favourable)	Expressed in all	Tissue enhanced		heart muscle: 122.1;skeletal muscle: 66.2	cerebral cortex: 38.1	Mixed		
SLC25A5	2F1, ANT2, T2, T3	ENSG00000005022	Solute carrier family 25 member 5	X	119468400-119471319	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046835, HPA071684	Approved		Supported	Mitochondria	Renal cancer:8.06e-6 (favourable), Cervical cancer:7.35e-4 (favourable), Colorectal cancer:7.47e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 769.6	Expressed in all		
SLC25A6	ANT3, ANT3Y, MGC17525	ENSG00000169100	Solute carrier family 25 member 6	X	1386152-1392724	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046835, HPA071684	Approved		Supported	Mitochondria		Expressed in all	Expressed in all			ovary: 291.7	Expressed in all		
SLC52A2	D15Ertd747e, FLJ11856, GPCR41, GPR172A, hRFT3, PAR1, RFVT2	ENSG00000185803	Solute carrier family 52 member 2	8	144354135-144361272	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA063036	Approved				Liver cancer:2.04e-6 (unfavourable), Renal cancer:1.23e-4 (unfavourable), Cervical cancer:7.55e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 20.8	Expressed in all		
SLC5A2	SGLT2	ENSG00000140675	Solute carrier family 5 member 2	16	31483002-31490860	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041603	Enhanced					Not detected	Tissue enriched	10	kidney: 26.5	testis: 2.7	Not detected		
SLC6A1	GABATHG, GABATR, GAT1	ENSG00000157103	Solute carrier family 6 member 1	3	10992724-11039247	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA013341, CAB022293	Enhanced		Uncertain	Mitochondria	Renal cancer:5.05e-6 (unfavourable), Liver cancer:3.20e-4 (favourable)	Group enriched	Group enriched	5	cerebral cortex: 119.4;liver: 50.4	parathyroid gland: 16.0	Not detected		
SLC6A2	NAT1, NET, NET1, SLC6A5	ENSG00000103546	Solute carrier family 6 member 2	16	55655604-55706192	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA004057, HPA076311, CAB078195	Enhanced	Supported	Approved	Mitochondria<br>Cytosol		Tissue enhanced	Tissue enhanced		adrenal gland: 29.2;placenta: 18.4;skin: 15.7	testis: 11.4	Cell line enriched	35	SH-SY5Y: 519.4
SLC6A3	DAT, DAT1	ENSG00000142319	Solute carrier family 6 member 3	5	1392790-1445430	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA012763, HPA013602, CAB016249, CAB078172	Supported	Supported	Approved	Vesicles	Renal cancer:3.40e-7 (unfavourable)	Tissue enriched	Not detected			thyroid gland: 0.3	Not detected		
SLC6A4	5-HTT, HTT, OCD1, SERT1	ENSG00000108576	Solute carrier family 6 member 4	17	30194319-30236002	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA071354, HPA074728		Supported	Supported	Golgi apparatus<br>Vesicles		Tissue enhanced	Group enriched	10	duodenum: 10.4;lung: 44.2;placenta: 26.4;small intestine: 45.3	esophagus: 3.1	Cell line enhanced		BEWO: 1.9;CACO-2: 3.2;Hep G2: 7.1
SLC6A8	CRTR, CT1	ENSG00000130821	Solute carrier family 6 member 8	X	153688099-153696593	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Renal cancer:1.53e-4 (unfavourable), Thyroid cancer:7.39e-4 (unfavourable)	Expressed in all	Mixed			small intestine: 89.2	Mixed		
SLC7A11	xCT	ENSG00000151012	Solute carrier family 7 member 11	4	138164097-138242349	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA064215			Supported	Vesicles	Ovarian cancer:1.77e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 22.4	epididymis: 8.2	Expressed in all		
SLC8A1	NCX1	ENSG00000183023	Solute carrier family 8 member A1	2	40097270-40611053	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB022694, HPA070007	Uncertain		Supported	Nucleoplasm<br>Plasma membrane		Mixed	Tissue enhanced		heart muscle: 78.0	seminal vesicle: 37.6	Cell line enhanced		BJ: 24.4;fHDF/TERT166: 54.5
SLCO2B1	OATP-B, OATP2B1, SLC21A9	ENSG00000137491	Solute carrier organic anion transporter family member 2B1	11	75100563-75206549	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA020659	Uncertain					Expressed in all	Expressed in all			liver: 123.1	Cell line enhanced		CACO-2: 75.7;HEL: 13.5;Hep G2: 14.2;HMC-1: 23.5
SMO	FZD11, SMOH	ENSG00000128602	Smoothened, frizzled class receptor	7	129188872-129213545	Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB011446	Approved					Expressed in all	Mixed			ovary: 30.4	Cell line enhanced		AN3-CA: 84.8;NTERA-2: 69.7
SMOX	C20orf16, dJ779E11.1, FLJ20746, MGC1010, PAO, PAOh1, SMO	ENSG00000088826	Spermine oxidase	20	4120980-4187747	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA047117, HPA060198	Approved		Supported	Nucleoplasm<br>Nuclear membrane<br>Vesicles	Liver cancer:3.33e-6 (unfavourable), Renal cancer:1.06e-4 (unfavourable), Lung cancer:1.36e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 49.7	gallbladder: 23.5	Cell line enhanced		A549: 104.6;Karpas-707: 139.7
SMS	MRSR, SPMSY, SpS, SRS	ENSG00000102172	Spermine synthase	X	21940573-21994835	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA029849, HPA029852	Approved		Approved	Nuclear bodies<br>Cytosol	Liver cancer:7.79e-8 (unfavourable), Renal cancer:7.85e-5 (unfavourable), Head and neck cancer:7.49e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 202.4	Expressed in all		
SNAP25	bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25	ENSG00000132639	Synaptosome associated protein 25	20	10218830-10307418	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	CAB000360, HPA001830	Enhanced	Supported				Group enriched	Tissue enriched	31	cerebral cortex: 1759.0	adrenal gland: 57.2	Cell line enhanced		SCLC-21H: 92.0;SH-SY5Y: 49.5;U-87 MG: 54.7
SOAT1	ACAT, SOAT, STAT	ENSG00000057252	Sterol O-acyltransferase 1	1	179293714-179358680	Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB009533, HPA047171	Enhanced		Enhanced	Endoplasmic reticulum		Expressed in all	Tissue enhanced		adrenal gland: 218.2	prostate: 45.1	Expressed in all		
SQLE		ENSG00000104549	Squalene epoxidase	8	124998497-125022283	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA018038, HPA020762	Enhanced		Uncertain	Vesicles<br>Cytosol	Pancreatic cancer:2.73e-4 (unfavourable), Lung cancer:4.67e-4 (unfavourable), Renal cancer:5.70e-4 (unfavourable), Head and neck cancer:7.42e-4 (unfavourable)	Expressed in all	Mixed			testis: 107.8	Expressed in all		
SRC	ASV, c-src, SRC1	ENSG00000197122	SRC proto-oncogene, non-receptor tyrosine kinase	20	37344685-37406050	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004023, HPA030875	Approved		Enhanced	Plasma membrane<br>Cytosol	Liver cancer:4.90e-5 (unfavourable), Urothelial cancer:5.22e-5 (favourable), Renal cancer:1.22e-4 (unfavourable), Prostate cancer:1.63e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 43.6	Mixed		
SRD5A1		ENSG00000145545	Steroid 5 alpha-reductase 1	5	6633343-6674386	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA051402	Approved				Endometrial cancer:8.73e-6 (unfavourable)	Expressed in all	Mixed			skin: 16.8	Mixed		
SRD5A2		ENSG00000277893	Steroid 5 alpha-reductase 2	2	31522480-31581067	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level							Group enriched	Group enriched	11	epididymis: 27.9;fallopian tube: 31.6;liver: 30.6;prostate: 26.6;seminal vesicle: 24.5	testis: 2.5	Cell line enhanced		RT4: 1.2
SSTR1		ENSG00000139874	Somatostatin receptor 1	14	38207999-38213067	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA031506	Approved				Renal cancer:4.28e-4 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 13.6;duodenum: 14.2;stomach: 21.4	small intestine: 9.1	Cell line enhanced		BJ: 102.5;BJ hTERT+: 27.1;fHDF/TERT166: 56.0
SSTR2		ENSG00000180616	Somatostatin receptor 2	17	73165012-73176633	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA007264	Uncertain		Supported	Cytosol	Renal cancer:9.04e-7 (unfavourable), Pancreatic cancer:6.63e-4 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 22.9	spleen: 5.8	Cell line enriched	9	SCLC-21H: 14.9
SSTR5		ENSG00000162009	Somatostatin receptor 5	16	1078781-1080142	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA066503			Supported	Plasma membrane		Mixed	Tissue enhanced		adrenal gland: 1.2	kidney: 0.5	Group enriched	15	Hep G2: 10.4;PC-3: 50.7
SV2A	KIAA0736, SV2	ENSG00000159164	Synaptic vesicle glycoprotein 2A	1	149903318-149917882	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB002226, HPA007863	Enhanced		Approved	Cytosol	Renal cancer:3.22e-4 (unfavourable)	Tissue enriched	Tissue enhanced		cerebral cortex: 166.9;parathyroid gland: 72.0	epididymis: 28.2	Cell line enhanced		NTERA-2: 65.6;SCLC-21H: 63.2
SYT2		ENSG00000143858	Synaptotagmin 2	1	202590596-202710417	Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA030372, HPA063655	Enhanced	Supported	Approved	Vesicles		Tissue enriched	Tissue enhanced		adrenal gland: 1.8;cerebral cortex: 2.1	epididymis,testis: 1.0	Cell line enhanced		AF22: 8.4;NTERA-2: 5.8;U-2 OS: 1.8
TAAR1	TA1, TAR1, TRAR1	ENSG00000146399	Trace amine associated receptor 1	6	132644984-132646003	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	HPA055614	Approved					Tissue enhanced	Group enriched	17	fallopian tube: 2.2;stomach: 7.8	duodenum,endometrium,prostate,urinary bladder: 0.2	Not detected		
TACR1	NK1R, NKIR, SPR, TAC1R	ENSG00000115353	Tachykinin receptor 1	2	75046463-75199700	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA074573	Enhanced					Mixed	Tissue enhanced		cervix, uterine: 7.3	fallopian tube: 4.7	Not detected		
TBXA2R		ENSG00000006638	Thromboxane A2 receptor	19	3594506-3606840	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA077366			Supported	Nuclear speckles<br>Plasma membrane	Renal cancer:1.45e-4 (unfavourable), Pancreatic cancer:7.17e-4 (favourable)	Expressed in all	Mixed			spleen: 5.2	Cell line enhanced		HeLa: 6.4;U-2197: 6.3
TBXAS1	CYP5, CYP5A1, THAS, TS, TXAS, TXS	ENSG00000059377	Thromboxane A synthase 1	7	139777051-140020325	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA031257, HPA031258, HPA031259	Enhanced		Supported	Vesicles	Renal cancer:1.14e-4 (unfavourable)	Expressed in all	Mixed			spleen: 56.3	Cell line enhanced		NB-4: 48.5;PC-3: 22.1;U-937: 48.2
TEK	CD202b, TIE-2, TIE2, VMCM, VMCM1	ENSG00000120156	TEK receptor tyrosine kinase	9	27109141-27230175	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010359, HPA073265	Approved		Supported	Plasma membrane<br>Microtubule organizing center	Liver cancer:2.31e-5 (favourable), Renal cancer:7.81e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 65.9	lung: 42.6	Group enriched	8	HUVEC TERT2: 74.6;NTERA-2: 44.2;TIME: 80.0
TFPI	EPI, LACI, TFI, TFPI1	ENSG00000003436	Tissue factor pathway inhibitor	2	187464230-187565760	Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA005575, CAB020842	Supported		Approved	Intermediate filaments<br>Cytosol	Cervical cancer:2.02e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 267.0	Cell line enhanced		HHSteC: 309.8;HUVEC TERT2: 601.4;LHCN-M2: 367.6;TIME: 354.9
TH	DYT5b	ENSG00000180176	Tyrosine hydroxylase	11	2163929-2171877	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB002522, HPA013768, HPA061003, CAB072340	Enhanced	Supported				Tissue enhanced	Tissue enriched	81	adrenal gland: 259.8	adipose tissue: 3.2	Group enriched	26	PC-3: 54.8;SK-BR-3: 15.7
